properties.code,Regions,row,col,x,y
E12000001,North East,0,2,406363.8874,568861.2138
E12000002,North West,1,1,352929.9951,461449.6331
E12000003,Yorkshire and The Humber,1,3,447785.2676,454514.888
E12000004,East Midlands,2,3,479829.2993,337141.4532
E12000005,West Midlands,2,2,381413.7146,286678.5714
E12000006,East of England,2,4,573119.5378,264233.5843
E12000007,London,3,3,530855.8905,180087.4837
E12000008,South East,4,3,502861.6212,156205.1857
E12000009,South West,4,1,319862.0218,122644.0277
W92000004,Wales,2,0,281665.0984,267847.2455
